"ID","Name","Latitude","Longitude","Region","Country","Continent"
"310073","GILLINGHAM (MEDWAY) (310073)","51.3858","0.5531","","ENGLAND","EUROPE"
"310074","GLOUCESTER (310074)","51.8638","-2.2368","","ENGLAND","EUROPE"
"310076","GRAVESEND (310076)","51.4414","0.3724","","ENGLAND","EUROPE"
"310077","GREAT_YARMOUTH (310077)","52.6091","1.7314","","ENGLAND","EUROPE"
"310078","GREENOCK (310078)","55.9565","-4.7707","","SCOTLAND","EUROPE"
"310079","GRIMSBY (310079)","53.5672","-0.0791","","ENGLAND","EUROPE"
"310080","GUILDFORD (310080)","51.2362","-0.5699","","ENGLAND","EUROPE"
"310084","HARLOW (310084)","51.7674","0.0894","","ENGLAND","EUROPE"
"310086","HARTLEPOOL (310086)","54.6916","-1.2113","","ENGLAND","EUROPE"
"310087","HASTINGS (310087)","50.8537","0.5751","","ENGLAND","EUROPE"
"310089","HEMEL_HEMPSTEAD (310089)","51.7580","-0.4687","","ENGLAND","EUROPE"
"310090","HIGH_WYCOMBE (310090)","51.6310","-0.7479","","ENGLAND","EUROPE"
"310091","HOVE (310091)","50.8274","-0.1672","","ENGLAND","EUROPE"
"310093","HULL (310093)","53.7492","-0.3471","","ENGLAND","EUROPE"
"310094","IPSWICH (310094)","52.0563","1.1499","","ENGLAND","EUROPE"
"310097","KILMARNOCK (310097)","55.6147","-4.4975","","SCOTLAND","EUROPE"
"310102","LINCOLN (310102)","53.2304","-0.5390","","ENGLAND","EUROPE"
"310103","LIVINGSTON (310103)","55.9007","-3.5167","","SCOTLAND","EUROPE"
"310104","LOWESTOFT (310104)","52.4807","1.7553","","ENGLAND","EUROPE"
"310105","LUTON (310105)","51.8783","-0.4155","","ENGLAND","EUROPE"
"310106","MAIDSTONE (310106)","51.2699","0.5243","","ENGLAND","EUROPE"
"310108","MARGATE (310108)","51.3892","1.3886","","ENGLAND","EUROPE"
"310109","MIDDLESBROUGH (310109)","54.5741","-1.2334","","ENGLAND","EUROPE"
"310113","NEWPORT (NEWPORT) (310113)","51.5837","-2.9963","","WALES","EUROPE"
"310114","NORTHAMPTON (310114)","52.2401","-0.9011","","ENGLAND","EUROPE"
"310115","NORWICH (310115)","52.6305","1.2991","","ENGLAND","EUROPE"
